Date,Description,Category,Amount,Transaction Type
2025-06-20,Concert Ticket,Entertainment,3273.0,Expense
2025-05-30,Uber Ride,Transportation,459.0,Expense
2024-09-03,Starbucks Coffee,Food,414.38,Expense
2025-03-15,Nike Shoes,Shopping,6344.0,Expense
2024-11-11,Amazon Purchase,Shopping,3327.0,Expense
2025-07-22,McDonald's Meal,Food,291.42,Expense
2024-10-29,UberEats Delivery,Food,1225.49,Expense
2025-10-09,Gas Station,Transportation,2431.0,Expense
2025-11-16,Starbucks Coffee,Food,259.29,Expense
2025-03-16,Fine Dining,Food,2354.54,Expense
2025-12-07,Starbucks Coffee,Food,355.56,Expense
2025-11-09,Mobile Phone Bill,Utilities,464.0,Expense
2025-08-24,Car Service,Transportation,7598.0,Expense
2025-07-12,McDonald's Meal,Food,393.2,Expense
2025-01-23,Zara Clothing,Shopping,5583.0,Expense
2025-01-13,Metro Card Topup,Transportation,414.0,Expense
2025-04-14,Spotify Premium,Entertainment,119.0,Expense
2025-05-31,Cinema Movie Ticket,Entertainment,779.0,Expense
2024-11-19,Amazon Purchase,Shopping,3042.0,Expense
2024-08-12,Uber Ride,Transportation,462.0,Expense
2024-07-17,Uber Ride,Transportation,143.0,Expense
2024-11-02,Zara Clothing,Shopping,4589.0,Expense
2024-11-14,UberEats Delivery,Food,430.71,Expense
2025-06-29,Local Grocery Store,Food,3309.73,Expense
2024-07-31,Gas Station,Transportation,2875.0,Expense
2024-08-05,Fiber Internet Bill,Utilities,802.0,Expense
2024-07-27,Nike Shoes,Shopping,3891.0,Expense
2026-01-03,Car Service,Transportation,5494.0,Expense
2026-01-29,Cinema Movie Ticket,Entertainment,470.0,Expense
2025-02-18,UberEats Delivery,Food,678.89,Expense
2025-07-11,Concert Ticket,Entertainment,5100.0,Expense
2025-04-10,McDonald's Meal,Food,576.69,Expense
2025-10-03,Car Service,Transportation,5772.0,Expense
2025-08-21,McDonald's Meal,Food,360.38,Expense
2024-08-28,Electronics Store,Shopping,15726.0,Expense
2025-02-15,UberEats Delivery,Food,480.6,Expense
2024-11-16,Local Grocery Store,Food,2663.44,Expense
2025-07-12,Zara Clothing,Shopping,2041.0,Expense
2025-06-02,Cash withdrawal,,2000.0,Expense
2025-12-17,Health Checkup Package,Medical,4083.0,Expense
2024-08-07,Electronics Store,Shopping,10064.0,Expense
2026-02-07,Electricity Bill,Utilities,2089.0,Expense
2025-04-02,Starbucks Coffee,Food,463.81,Expense
2025-10-05,Amazon Purchase,Shopping,6837.0,Expense
